gid	disp
Zm00001d007718	0
Zm00001d007719	0
Zm00001d007753	0
Zm00001d007754	0
Zm00001d007755	0
Zm00001d007757	0
Zm00001d007758	0
Zm00001d007760	0
Zm00001d007763	0
Zm00001d007769	0
Zm00001d007770	0
Zm00001d007772	0
Zm00001d007776	0
Zm00001d007778	0
Zm00001d007785	0
Zm00001d007800	0
Zm00001d007801	0
Zm00001d007802	0
Zm00001d007807	0
Zm00001d007820	0
Zm00001d007821	0
Zm00001d007822	0
Zm00001d007823	0
Zm00001d007824	0
Zm00001d007825	0
Zm00001d007826	0
Zm00001d007830	0
Zm00001d007835	0
Zm00001d007839	0
Zm00001d007845	0
Zm00001d007851	0
Zm00001d007853	0
Zm00001d007858	0
Zm00001d007865	0
Zm00001d007869	0
Zm00001d007870	0
Zm00001d007872	0
Zm00001d007881	0
Zm00001d007884	0
Zm00001d007886	0
Zm00001d007889	0
Zm00001d007890	0
Zm00001d007891	0
Zm00001d007892	0
Zm00001d007896	0
Zm00001d007897	0
Zm00001d007898	0
Zm00001d007900	0
Zm00001d007901	0
Zm00001d007902	0
Zm00001d007904	0
Zm00001d007905	0
Zm00001d007907	0
Zm00001d007912	0
Zm00001d007915	0
Zm00001d007954	0
Zm00001d007972	0
Zm00001d007978	0
Zm00001d008177	0
Zm00001d008178	0
Zm00001d008181	0
Zm00001d008200	0
Zm00001d008203	0
Zm00001d008210	0
Zm00001d008212	0
Zm00001d008215	0
Zm00001d008216	0
Zm00001d008218	0
Zm00001d008224	0
Zm00001d008225	0
Zm00001d008226	0
Zm00001d008233	0
Zm00001d008236	0
Zm00001d008237	0
Zm00001d008238	0
Zm00001d008239	0
Zm00001d008242	0
Zm00001d008244	0
Zm00001d008245	0
Zm00001d008248	0
Zm00001d008249	0
Zm00001d008250	0
Zm00001d008303	0
Zm00001d008323	0
Zm00001d008327	0
Zm00001d008330	0
Zm00001d008333	0
Zm00001d008338	0
Zm00001d008342	0
Zm00001d008345	0
Zm00001d008356	0
Zm00001d008357	0
Zm00001d008360	0
Zm00001d008363	0
Zm00001d008374	0
Zm00001d008376	0
Zm00001d008377	0
Zm00001d008379	0
Zm00001d008380	0
Zm00001d008386	0
Zm00001d008387	0
Zm00001d008392	0
Zm00001d008393	0
Zm00001d008395	0
Zm00001d008403	0
Zm00001d008405	0
Zm00001d008407	0
Zm00001d008411	0
Zm00001d008412	0
Zm00001d008413	0
Zm00001d008422	0
Zm00001d008424	0
Zm00001d008428	0
Zm00001d008429	0
Zm00001d008430	0
Zm00001d008432	0
Zm00001d008433	0
Zm00001d008435	0
Zm00001d008452	0
Zm00001d008455	0
Zm00001d008491	0
Zm00001d008493	0
Zm00001d008495	0
Zm00001d008500	0
Zm00001d008502	0
Zm00001d008503	0
Zm00001d008513	0
Zm00001d008515	0
Zm00001d008516	0
Zm00001d008520	0
Zm00001d008528	0
Zm00001d008529	0
Zm00001d008530	0
Zm00001d008531	0
Zm00001d008540	0
Zm00001d008546	0
Zm00001d008549	0
Zm00001d008559	0
Zm00001d008564	0
Zm00001d008565	0
Zm00001d008567	0
Zm00001d008569	0
Zm00001d008573	0
Zm00001d008588	0
Zm00001d008591	0
Zm00001d008594	0
Zm00001d008596	0
Zm00001d008602	0
Zm00001d008604	0
Zm00001d008606	0
Zm00001d008613	0
Zm00001d008618	0
Zm00001d008620	0
Zm00001d008640	0
Zm00001d008641	0
Zm00001d008642	0
Zm00001d008646	0
Zm00001d008648	0
Zm00001d008649	0
Zm00001d008651	0
Zm00001d008665	0
Zm00001d008666	0
Zm00001d008669	0
Zm00001d008679	0
Zm00001d008689	0
Zm00001d008690	0
Zm00001d008691	0
Zm00001d008693	0
Zm00001d008700	0
Zm00001d008716	0
Zm00001d008724	0
Zm00001d008725	0
Zm00001d008726	0
Zm00001d008727	0
Zm00001d008731	0
Zm00001d008733	0
Zm00001d008734	0
Zm00001d008737	0
Zm00001d008739	0
Zm00001d008743	0
Zm00001d008744	0
Zm00001d008748	0
Zm00001d008752	0
Zm00001d008757	0
Zm00001d008758	0
Zm00001d008762	0
Zm00001d008763	0
Zm00001d008777	0
Zm00001d008782	0
Zm00001d008788	0
Zm00001d008789	0
Zm00001d008799	0
Zm00001d008805	0
Zm00001d008812	0
Zm00001d008816	0
Zm00001d008820	0
Zm00001d008827	0
Zm00001d008839	0
Zm00001d008844	0
Zm00001d008846	0
Zm00001d008847	0
Zm00001d008849	0
Zm00001d008850	0
Zm00001d008858	0
Zm00001d008862	0
Zm00001d008863	0
Zm00001d008865	0
Zm00001d008870	0
Zm00001d008871	0
Zm00001d008874	0
Zm00001d008875	0
Zm00001d008890	0
Zm00001d008891	0
Zm00001d008892	0
